,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
240,M,DLC,Department of Liquor Control,Milestone,Parttime-Regular,Liquor Store Clerk I,12/08/2010,2010
241,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,06/05/2000,2000
242,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/17/2006,2006
243,M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Specialist,04/21/1991,1991
244,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/18/2016,2016
245,M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
246,M,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",Fulltime-Regular,Assistant County Attorney III,04/04/2016,2016
247,M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Public Administration Associate,01/26/2015,2015
248,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,09/12/1988,1988
249,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
250,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Program Specialist I,09/06/2016,2016
251,M,POL,Department of Police,PSB 4th District Community Action Team,Fulltime-Regular,Police Officer III,07/18/2005,2005
252,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,12/29/2003,2003
253,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,04/28/2002,2002
254,M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Fire/Rescue Captain,02/26/1990,1990
255,M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,06/26/2000,2000
256,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
257,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
258,F,HHS,Department of Health and Human Services,Disease Control,Fulltime-Regular,Manager III,05/14/2001,2001
259,M,LIB,Department of Public Libraries,Olney Library,Parttime-Regular,Library Assistant I,07/21/2005,2005
260,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,07/19/1998,1998
261,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Master Firefighter/Rescuer,01/12/1998,1998
262,M,DLC,Department of Liquor Control,Muddy Branch,Fulltime-Regular,Liquor Store Clerk II,11/19/2012,2012
263,M,REC,Department of Recreation,MLK Indoor Pool,Fulltime-Regular,Recreation Supervisor,04/03/1994,1994
264,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,02/19/2008,2008
265,M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Fire/Rescue Lieutenant,09/20/1993,1993
266,M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Fire/Rescue Lieutenant,01/23/1995,1995
267,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/11/2013,2013
268,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,08/11/2014,2014
269,F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,06/01/2015,2015
270,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,08/26/2013,2013
271,F,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Community Health Nurse II,01/08/2007,2007
272,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
273,M,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Investment Analyst,12/13/2016,2016
274,M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,12/16/2013,2013
275,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,01/16/2007,2007
276,F,DOT,Department of Transportation,Transit Operations and Planning,Fulltime-Regular,Senior Planning Specialist,01/24/2005,2005
277,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,07/30/2012,2012
278,M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Program Manager II,11/04/2013,2013
279,F,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff III,01/14/2002,2002
280,F,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
281,M,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,06/25/2007,2007
282,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer I (Private),02/08/2016,2016
283,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/14/2001,2001
284,M,HHS,Department of Health and Human Services,Aging and Disability Resource Unit,Fulltime-Regular,Client Assistance Specialist,06/19/2000,2000
285,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/12/2010,2010
286,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/16/2012,2012
287,M,DLC,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,09/01/2011,2011
288,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/03/2008,2008
289,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Operations Supervisor,06/16/2008,2008
290,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,05/30/1999,1999
291,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/01/2013,2013
292,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Sergeant,06/13/1994,1994
293,M,LIB,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Desk Assistant,11/27/2000,2000
294,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/01/2013,2013
295,F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Manager II,09/05/2006,2006
296,M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Fire/Rescue Captain,11/17/1997,1997
297,F,OAG,Office of Agriculture,Administration,Fulltime-Regular,Administrative Specialist II,01/08/2007,2007
298,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,01/14/2002,2002
299,M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,08/16/1999,1999
300,F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,11/21/1988,1988
301,F,DOT,Department of Transportation,Transportation Engineering Administration,Fulltime-Regular,Management and Budget Specialist III,03/05/1984,1984
302,M,HHS,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Dental Assistant,10/01/2007,2007
303,F,DEP,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Planning Specialist III,01/22/2007,2007
304,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/04/1999,1999
305,M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
306,M,DLC,Department of Liquor Control,Potomac,Fulltime-Regular,Liquor Store Clerk II,01/04/2010,2010
307,M,POL,Department of Police,FSB Traffic Division Alcohol Initiatives Section,Fulltime-Regular,Master Police Officer,01/12/2009,2009
308,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,01/13/2002,2002
309,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Analyst II,09/30/1985,1985
310,F,HHS,Department of Health and Human Services,Clinical Assessment and Triage Services,Fulltime-Regular,Therapist II,04/10/2012,2012
311,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,07/29/2013,2013
312,M,DLC,Department of Liquor Control,Wheaton,Parttime-Regular,Liquor Store Clerk I,08/25/2013,2013
313,F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Administrative Specialist II,07/24/1989,1989
314,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014
315,F,OMB,Office of Management and Budget,"Process, Production and Technology",Fulltime-Regular,Senior Management and Budget Specialist,08/27/2001,2001
316,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,11/29/2004,2004
317,M,DEP,Department of Environmental Protection,Construction,Fulltime-Regular,Senior Engineer,02/11/2001,2001
318,M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Public Administration Associate,01/26/2015,2015
319,F,CAT,County Attorney's Office,Government Operations,Fulltime-Regular,Assistant County Attorney III,08/30/1999,1999
320,M,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Manager II,07/30/2012,2012
321,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/17/2015,2015
322,M,REC,Department of Recreation,East County Community Recreation Center,Fulltime-Regular,Recreation Specialist,02/09/2015,2015
323,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,10/01/1990,1990
324,M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,07/29/2013,2013
325,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/16/2012,2012
326,M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permit Technician II,04/02/2007,2007
327,F,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Office Services Coordinator,07/31/2000,2000
328,M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
329,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/10/2006,2006
330,F,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Administrative Specialist II,06/01/2015,2015
331,M,COR,Correction and Rehabilitation,MSD Information Technology,Fulltime-Regular,Information Technology Specialist II,01/02/2001,2001
332,M,DLC,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Manager,10/06/1989,1989
333,M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,01/16/2007,2007
334,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/27/2012,2012
335,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
336,M,SHF,Sheriff's Office,Courthouse Security,Fulltime-Regular,Deputy Sheriff II,01/28/2013,2013
337,F,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Office Services Coordinator,08/13/2012,2012
338,F,HHS,Department of Health and Human Services,Contract Team,Fulltime-Regular,Office Services Coordinator,10/17/1994,1994
339,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Manager III,11/12/2002,2002
340,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/28/2014,2014
341,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Information Systems Technician,10/24/2011,2011
342,F,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,03/17/2003,2003
343,F,DLC,Department of Liquor Control,Olney,Parttime-Regular,Liquor Store Clerk I,11/09/2012,2012
344,M,FRS,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Trainee,05/16/2016,2016
345,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,06/15/1994,1994
346,M,FRS,Fire and Rescue Services,Field Operations Administration,Fulltime-Regular,Master Firefighter/Rescuer,02/22/1994,1994
347,F,LIB,Department of Public Libraries,White Oak Library,Fulltime-Regular,Library Assistant I,03/22/1997,1997
348,M,FRS,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician I,06/29/2015,2015
349,M,COR,Correction and Rehabilitation,Professional Standards Unit,Fulltime-Regular,Correctional Supervisor (Sergeant),09/21/1998,1998
350,M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,05/11/2015,2015
351,M,POL,Department of Police,PSB 4th District Station,Fulltime-Regular,Police Lieutenant,05/25/1997,1997
352,F,POL,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Police Officer III,11/13/2006,2006
353,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,09/25/1989,1989
354,F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),12/01/2014,2014
355,F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Senior Executive Administrative Aide,01/06/1997,1997
356,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,03/20/2006,2006
357,M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,04/16/2007,2007
358,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/04/2004,2004
359,M,SHF,Sheriff's Office,Courthouse Security,Fulltime-Regular,Deputy Sheriff III,02/03/2003,2003
360,F,OHR,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Human Resources Specialist I,04/07/2014,2014
361,M,DLC,Department of Liquor Control,Customer Service,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,10/05/1995,1995
362,M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,07/21/2003,2003
363,M,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Parttime-Regular,Program Manager I,08/08/2016,2016
364,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014
365,F,HHS,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Behavioral Health Technician,04/21/2014,2014
